Number,Other Numbers,Name,Class,Description,Longer Description,Material,Dimensions,Acoustic Measure,Provenance,Maker,Date,Location,Source,Acquired,Previous Owners,Mark,Labels,Information,Publication,Image,Sound Recording,Playable,Condition,Recorder
157,,Transverse Flute,Flutes,"Transverse flute, Boehm system, brass with wooden mouthpiece.",,Brass MetalWood Plant,Max L = 667 mm  Max W = 30 mm,,"UK, England, London",Rudall & Rose ,c.1850,Display Case 6,Philip Bate,,,"Rudall & Rose Patentees 38 Southampton Street, Strand, London","Boehm system, Rudall & Rose, London, c. 1850, metal. [display label]",,,Collections Image 14-01-2013,,no,"Fair condition, metal deteriorating all over.",Elin Bornemann [10/01/2013]
169,,Transverse FlutePiccolo,Flutes,"Transverse flute and piccolo combined, of cocus with keys and mechanism of copper alloy. ","Transverse flute and piccolo combined, of cocus with keys and mechanism of copper alloy. The flute is on one side of the tone hole, the piccolo on the other. The keys of the piccolo can be moved with the keys of the flute via trackers. Depending on the position of a moveable stopper the flute or the piccolo will sound.",Cocus Wood PlantCopper Alloy Metal,Max L = 786 mm  Max W = 50 mm,,"UK, England, London",T.W. Moore,post 1950,Display Case 6,David Moore,,,PAT 663091 [on mechanism],"Boehm system flute and piccolo combined, T.W. Moore, London, patented 1950, cocus. dd. David Moore, his son. 169 [display label]",,,Collections Image 14-01-2013,,possibly,"Fair condition, metal deteriorating, dirt on the wood,",Elin Bornemann [10/01/2013]
156,,Transverse Flute,Flutes,"Transverse flute of cocus, with three joints, with silver keys and ferrules, with a wide band of silver [?] on the the body. Basically an 8-key flute but with plates throughout.",,Cocus Wood PlantSilver Metal,Max L = 662 mm  Max W = 45 mm,,"UK, England, London",J.R. Lafleur (seller),second half 19th century?,Display Case 6,Philip Bate,,,J.R. LAFLEUR & SON LONDON,"Sold by J.R. Lafleur, London, perhaps Belgian, cocus. 156 [display label]","J.R. Lafleur were dealers, not makers, the actual maker is not known.",,Collections Image 14-01-2013,,yes,"Good condition, but tarnishing on the metal and dirt on the wood.",Elin Bornemann [10/01/2013]
x127,,Transverse Flute,Flutes,"Transverse flute of cocus wood, Pratten system, with three joints, with silver keys and ferrules.",,Cocus Wood PlantSilver Metal,Max L = 675 mm  Max W = 47 mm,,"UK, England, London",Boosey & Co.,second half 19th century?,Display Case 6,Philip Bate,,,,"Pratten system, Boosey & Co, London, cocus. Philip Bate Loan. x127 [display label]",,,Collections Image 14-01-2013,,possibly (one key not working properly),"Fair condition. Cracks in the body and head joints, wood damaged on the foot and the top of the head, some dirt.",Elin Bornemann [10/01/2013]
x129,,Transverse Flute,Flutes,"Transverse flute of cocus wood, Boehm system, with three joints, with keys and ferrules of silver.",,Cocus Wood PlantSilver Metal,Max L = 665 mm  Max W = 45 mm,lowest note C,"Germany, Munich",Boehm & Mendler,post 1862,Display Case 6,Philip Bate,,,BOEHM & MENDLER MNCHEN [on upper body tenon],"Boehm system, Boehm & Mendler, Mnchen, post 1862, cocus. Closed G# possibly a conversion. Philip Bate Loan. x129 [display label]",,,Collections Image 14-01-2013,,possibly (one key not working properly),Good condition but very dusty.,Elin Bornemann [10/01/2013]
150,,Transverse Flute,Flutes,"Transverse flute, 1847 Boehm system, silver with gold lip plate.",,Gold MetalSilver Metal,Max L = 624 mm  Max W = 37 mm,,"Germany, Munich",Theobald Boehm,c.1850,Display Case 6,Philip Bate,,,T. Boehm Mnchen,"Boehm system, Theobald Boehm, Mnchen, c. 1850, metal. Open G#. 150 [display label}",,,Collections Image 14-01-2013,,yes,Good condition but metal tarnished.,Elin Bornemann [10/01/2013]
1032,,Transverse Flute,Flutes,"Transverse flute, Boehm system, silver, body with square section, with later normal head.",,Silver Metal,Max L = 705 mm  Max W = 50 mm,,"France, Paris",F. Barbier/ Louis Lot,c.1875,Display Case 6,purchased,,,"F. BARBIER BTE. PARIS No. 976
on head: L.L. LOUIS LOT PARIS 2476 BREVETE","Boehm system to low B, F. Barbier, Paris, c. 1875, square-section, metal. With later normal head by Louis Lot. Purchased. 1032 [display label]",,,Collections Image 14-01-2013,,yes,Good condition but metal tarnished.,Elin Bornemann [10/01/2013]
x111,,Transverse Flute,Flutes,"Transverse flute, 1851 system Rockstro model, silver.",,Silver Metal,Max L = 652 mm  Max W = 50 mm,,"UK, England, London","Rudall, Rose, Carte & Co.",post 1862,Display Case 6,Philip Bate,,,"COUNCIL & PRIZE MEDALS 1851 AND 1862  Rudall, Rose, Carte & Co. Patentees 20 Charing Cross London New System Rockstro's Model MTR","1851-system, Rudall, Rose, Carte & Co., London, post 1862, metal. 'New system Rockstro's model'. Philip Bate Loan. x111 [display label]",,,Collections Image 14-01-2013,,no,Good condition but metal tarnished and some keys not working.,Elin Bornemann [10/01/2013]
1135,,Transverse Flute,Flutes,"Transverse flute, Barbiton, James Mathews' first version, silver with ivory mouthpiece.",,Silver MetalIvory Tooth Animal,Max L = 640 mm  Max W = 45 mm,C ,"UK, England, London","Rudall, Rose & Carte",c.1854,Display Case 6,Friends of the Bate,28/01/1993,Peter Spohr,"Rudall, Rose & Carte Patentees 38 Southampton Street Strand London. Cartes Patent.","Rudall, Rose, Carte, London, c. 1854, metal. Barbiton, James Mathew's first version of Carte's 1851 system. Purchased, Bate Collection Friends. 1135 [display label]",,"Galpin Society Journal XXXIII, 1980. 
The Blackcountryman 9:3, 1976 and 25:1, 1992",Collections Image 14-01-2013,,no,Good condition but metal tarnished and some keys not working.,Elin Bornemann [10/01/2013]
1039,,Transverse Flute,Flutes,"Transverse flute, Chrysostom, James Mathews' system, gold with silver mounts and ivory mouthpiece. Head and barrel are incised with floral designs.",,Silver MetalIvory Tooth AnimalGold Metal,Max L = 600 mm  Max W = 47 mm,lowest note C ,"UK, England, London","Rudall, Rose, Carte & Co.",1868,Display Case 6,purchased,04/1992,"James Mathews, great grandson of the inventor","TO James Mathews PRESENTED BY A FEW WHO ESTEEM HIM AS A FRIEND AND ADMIRE HIM AS AN ARTIST AD 1868 [on head]  Rudall, Rose, Carte & Co. 20 Charing Cross London [on barrel] ","Rudall, Rose, Carte, London, 1868, metal. Chrysostom, James Mathews' second model. Purchased with help from the MGC Local Museums Purchase Fund. 1039 [display label]",not to be played or lent,"Galpin Society Journal XXXIII, 1980. 
The Blackcountryman 9:3, 1976 and 25:1, 1992",Collections Image 14-01-2013,,no,Good condition but metal tarnished and some keys leaking.,Elin Bornemann [10/01/2013]
1105,,Transverse Flute,Flutes,"Transverse flute, Chrysostonides, James Mathews' system, silver with ivory mouthpiece.",,Silver MetalIvory Tooth Animal,Max L = 627 mm  Max W = 47 mm,lowest note C ,"UK, England",James Mathews,1876,Display Case 6,purchased,04/1988,purchased by private treaty from Sotheby's,,"Chrysostonides, James Mathews's final system, designed in 1876. Purchased. 1105 [display label]",,"Galpin Society Journal XXXIII, 1980. 
The Blackcountryman 9:3, 1976 and 25:1, 1992",Collections Image 14-01-2013,,no,"Fair condition. Bent, a number of keys are missing. Silver tarnished.",Elin Bornemann [10/01/2013]
x128,,Transverse Flute,Flutes,"Transverse flute, Boehm system, Rockstro's model, of cocus with silver keys, ferrules and lip plate.",,Silver MetalCocus Wood Plant,Max L = 650 mm  Max W = 45 mm,,"UK, England, London","Rudall, Carte & Co. ",1873,Display Case 6,Philip Bate,,,[crown] RUDALL CARTE & CO 20 CHARING CROSS LONDON 605 ROCKSTRO'S MODEL [on body]  [crown] RUDALL CARTE & CO LONDON [on head and foot],"Boehm system, Rudall, Carte & Co. London, 1873, cocus. Rockstro's model.Philip Bate Loan. x128 [display label]",,,Collections Image 14-01-2013,,yes,"Good condition, some tarnishing on the metal.",Elin Bornemann [10/01/2013]
x1055,,Transverse Flute,Flutes,"Transverse flute, 1867 system, Carte's and Boehm system combined, of cocus with silver keys, ferrules and lip plate.",,Silver MetalCocus Wood Plant,Max L = 650 mm  Max W = 45 mm,,"UK, England, London","Rudall, Carte & Co. ",c.1900,Display Case 6,Philip Bate,,,[crown] RUDALL CARTE & CO 23 BERNERS STREET OXFORD STREET LONDON 826 1867 PATENT [on body]  [crown] RUDALL CARTE & CO LONDON [on head and foot],"1867 system, Rudall Carte & Co, London, c. 1900, cocus. Carte's & Boehm's systems combined. Philip Bate Loan. x1055 [display label]",,,Collections Image 14-01-2013,,yes,"Good condition, some tarnishing on the metal.",Elin Bornemann [10/01/2013]
160,,Transverse Flute,Flutes,"Transverse flute, 1867 system, Carte and Boehm system combined, silver.",,Silver Metal,Max L = 635 mm  Max W = 50 mm,,"UK, England, London","Rudall, Carte & Co. ",post 1878,Display Case 6,Philip Bate,,,Rudall Carte & Co. 23 Berners Street Oxford Street London Carte & Boehm's  system combined,"1867 system, Rudall Carte & Co, London, post-1878, metal."" Carte & Boehm's system"" combined. Carte's 1867 system. 160 [display label]",,,Collections Image 14-01-2013,,yes,"Good condition, some tarnishing on the metal.",Elin Bornemann [10/01/2013]
1123,,Transverse Flute,Flutes,"Transverse flute, 1867 system, Rockstro's model, silver.",,Silver Metal,Max L = 640 mm  Max W = 45 mm,,"UK, England, London","Rudall, Rose, Carte & Co. ",c.1870,Display Case 6,Sir Kenneth Anderson,,,"Rudall, Rose, Carte & Co. Patentees 20 Charing Cross London Carte's System Rockstro's Model ISC","Rudall Rose Carte, London, c. 1870, metal. dd Sir Kenneth Anderson. 1123 [display label]",,,Collections Image 14-01-2013,,yes,"Good condition, but silver is tarnished.",Elin Bornemann [11/01/2013]
x107,,Transverse Flute,Flutes,"Transverse flute, Radcliff system, of cocus wood with silver keys and ferrules, with three joints.",,Silver MetalCocus Wood Plant,Max L = 625 mm  Max W = 50 mm,,"UK, England, London","Rudall, Carte & Co. ",1889,Display Case 6,Philip Bate,,,[crown] RUDALL CARTE & CO 23 BERNERS STREET OXFORD STREET LONDON 1917   GRENADIER GUARDS BAND 1889 2 [on body]  [crown RUDALL CARTE & CO LONDON  GRENADIER GUARDS BAND 1889  2 [on head and foot],"Radcliff system, Rudall Carte & Co., London, 1889, cocus. Ex Grenadier Guards. Philip Bate Loan. x107 [display label]",,,Collections Image 14-01-2013,,no (one key not working),"Good condition, but silver is tarnished.",Elin Bornemann [11/01/2013]
x109,,Transverse Flute,Flutes,"Transverse flute, Martin system, silver.",,Silver Metal,Max L = 625 mm  Max W = 62 mm,,"UK, England, London","Rudall, Carte & Co. ",post 1878,Display Case 6,Philip Bate,,,Rudall Carte & Co 23 Berners Street London W Martins Model,"Rudall Carte & Co, London, post-1878, metal. Martin model. Philip Bate Loan. x109 [display label]",,,Collections Image 14-01-2013,,yes,"Good condition, but silver is tarnished.",Elin Bornemann [11/01/2013]
1046,,Transverse Flute,Flutes,"Transverse flute, Boehm system, of cocus wood, with silver keys and aluminium lip plate. With a second thinner head of cocus wood with home-made metal lip plate.",,Silver MetalCocus Wood PlantAluminium Metal,Max L = 650 mm  Max L second head = 228 mm,lowest note C,"UK, England, London","Rudall, Carte & Co. ",c.1920,Display Case 6,Elaine Kaye,,"played by Milton Knight, the donor's great-uncle, in the BBC Scottish Orchestra.",Rudall Carte & Co 23 Berners Street Oxford Street London  2018,"Boehm system, Rudall Carte & Co, London, c. 1920, cocus. Ex Milton Knight (BBC Scottish Orchestra). dd Elaine Kaye, his great-niece. 1046 [display label]",,,Collections Image 14-01-2013,,no,"Fair condition. Cracks in both heads, some tarnishing on the silver. Some keys are not working.",Elin Bornemann [11/01/2013]
1110,,Transverse Flute,Flutes,"Transverse flute, Boehm system, of ebonite, with silver foot joint and silver keys.",,Silver MetalEbonite Synthetic,Max L = 732 mm  Max W = 50 mm,lowest note Bb,"UK, England, London","Rudall, Carte & Co. ",c.1880,Display Case 6,Edgar Hunt,,,[crown] RUDALL CARTE & CO 23 BERNERS STREET OXFORD STREET LONDON 813,"Boehm system, Rudall Carte, London, c. 1880, ebonite. dd Edgar Hunt. 1110 [display label]",,Galpin Society Journal 41,Collections Image 14-01-2013,,no,Fair condition. Ebonite on the head scratched and abraded. Silver tarnished. Some keys not working.,Elin Bornemann [11/01/2013]
1090,,Transverse Flute,Flutes,"Transverse flute, Boehm system, silver.",,Silver Metal,Max L = 722 mm  Max W = 55 mm,lowest note Bb ,"Belgium, Brussels",Eugene Albert,mid-19th century,Display Case 6,Winston Ely,,,[wreath] EA E. ALBERT BRUXELLES [star] [on body]  [star] E. ALBERT BRUXELLES [star]  [on head],"Boehm system, Eugene Albert, Bruxelles, mid-19th century, metal. Winston T. Ely bequest. 1090 [display label]","Winston T. Ely was a visitor from Miami, Florida. who was so impressed that he bequeathed two flutes to the Bate. The other is 1091.",,Collections Image 14-01-2013,,yes,Good condition but silver tarnished.,Elin Bornemann [11/01/2013]
10164,,Transverse Flute,Flutes,"Transverse flute, Alexander Murray system, silver.",,Silver Metal,Max L = 662 mm  Max W = 50 mm,,Netherlands?  U.S.A.?,Murray?  Lorello?,second half 20th century,Offsite store - B1,unaccessioned stock,entered in records 30/05/2013,,MURRAY DEN HAAG [on barrel]  EUGENE E. LORELLO NEW YORK [on head],,"Records of only one Murray flute could be found. However, the paperwork for Murray's donation is dated 1995, whereas the card signed by Murray to confirm his donation is dated 1998. It could not be determined whether there should be in fact two flutes given by Murray. The flute matching the description on the database was given the number 1101, and the second one was accessioned as unaccessioned stock and given the number 10164.",,Collections Image 04-06-2013,,yes,"Good condition but silver tarnished, head stained.",Elin Bornemann [30/05/2013]
161,,Transverse Flute Part,Flutes,"Body and foot for a transverse flute, Boehm system, of cocus wood, drilled for keys and mechanism, which have not been fitted. With silver ferrule on the foot and silver band on body tenon.",,Cocus Wood PlantSilver Metal,Max L = 449 mm  Max Diam = 28 mm,,"UK, England, London","Rudall, Carte & Co.",,Display Case 6,Philip Bate,,,[crown] RUDALL CARTE & CO. 23 BERNERS STREET OXFORD STREET LONDON 6021,"Body for Boehm system flute, Rudall Carte & Co., London, cocus. Drilled for keys and mechanism. 161 [display label]",,,Collections Image 14-01-2013,,no,Good condition but dirty.,Elin Bornemann [11/01/2013]
1147,,Piccolo,Flutes,"Piccolo of boxwood stained dark, in three joints, with ivory ferrules and one silver key.",,Boxwood PlantSilver MetalIvory Tooth Animal,Max L = 318 mm  Max Diam = 28 mm,lowest note D@ A = 427 Hz,"UK, England, London",Goulding,1799,Display Case 6,Katherine Jeans,,,GOULDING No. 45 PALL MALL LONDON,"1 key, Goulding, London, stained boxwood. Ex Morley-Pegge. dd Katherine Jeans to the Morley-Pegge Gift. 1147 [display label]","Bought by the donor from from R. Morley-Pegge. Officially, by decree of Hebdomadal Council, part of the Morley-Pegge Gift",,Collections Image 14-01-2013,,yes,"Good condition but dirty, silver tarnished.",Elin Bornemann [11/01/2013]
187,,Piccolo,Flutes,"Piccolo of ivory, with three joints (head, barrel, body), with wooden cap, nickel alloy ferrules and one nickel alloy key.",,Ivory Tooth AnimalNickel Alloy MetalWood Plant,Max L = 318 mm  Max Diam = 28 mm,,"UK, England, London",Whitaker & Co.,1823,Display Case 6,Philip Bate,,,WHITAKER & CO LONDON 1823 [on head]    WHITKER [sic] & CO LONDON [on barrel and body],"1 key, Whitaker & Co., London, 1823, ivory. [display label]",,,Collections Image 14-01-2013,,yes,"Good condition but some dirt, metal tarnished.",Elin Bornemann [11/01/2013]
176,,Piccolo,Flutes,"Piccolo of boxwood, with three joints, with one brass key.",,Boxwood PlantBrass Metal,Max L = 310 mm  Max Diam = 25 mm,,"UK, England, London",Goulding & D'Almaine,c.1825,Display Case 6,Philip Bate,,,[crown] GOULDING & D'ALMAINE SOHO SQUARE LONDON 8,"1 key, Goulding & D'Almaine, London, c. 1825, boxwood. 176 [display label]",,,Collections Image 14-01-2013,,yes,"Fair condition, crack in the head.",Elin Bornemann [11/01/2013]
x119,,Piccolo,Flutes,"Piccolo of boxwood, with three joints, originally with one key which is now missing.",,Boxwood Plant,Max L = 308 mm  Max Diam = 28 mm,,"UK, England, London",Joseph Wallis,second half 19th century,Display Case 6,Philip Bate,,,[lyre] J. WALLIS  135 EUSTON ROAD LATE UNION ST. BORO LONDON 3,"1 key, Joseph Wallis, second half 19th century, boxwood. Philip Bate Loan. x119 [display label]",,,Collections Image 14-01-2013,,no,"Fair condition, key missing.",Elin Bornemann [11/01/2013]
192,,Piccolo,Flutes,"Piccolo of boxwood, with two joints, with one brass key.",,Boxwood PlantBrass Metal,Max L = 296 mm  Max Diam = 27 mm,,"UK, England, London",anon,,Display Case 6,Philip Bate,,,LONDON D,"1 key, anon, London, boxwood. 192 [display label]",,,Collections Image 14-01-2013,,yes,"Fair condition, wood scratched and worn, some dirt.",Elin Bornemann [11/01/2013]
178,,Piccolo,Flutes,"Piccolo of cocus wood, with three joints, with one nickel alloy key and nickel alloy ferrules.",,Cocus Wood PlantNickel Alloy Metal,Max L = 304 mm  Max Diam = 27 mm,,"UK, England, London",William Hollings,c.1880,Display Case 6,Philip Bate,,,HOLLINGS LONDON,"1 key, William Hollings, London, c. 1880, cocus. 178 [display label]",,,Collections Image 14-01-2013,,yes,"Fair condition, dirty.",Elin Bornemann [11/01/2013]
184,,Piccolo,Flutes,"Piccolo of cocus wood, with three joints (head, barrel, body), with five nickel alloy keys and nickel alloy ferrules.",,Cocus Wood PlantNickel Alloy Metal,Max L = 320 mm  Max Diam = 27 mm,,"France, Paris",Jean Louis Tulou,c.1860,Display Case 6,Philip Bate,,,[bird] TULOU PARIS,"5 key, Jean Louis Tulou, Paris, c. 1860, cocus. 184 [display label]",,,Collections Image 14-01-2013,,yes,"Fair condition, dirty, metal tarnished.",Elin Bornemann [11/01/2013]
193,,Piccolo,Flutes,"Piccolo of boxwood, with four joints (head, barrel, body, foot), with ivory ferrules and four brass keys. The cap is inlaid with a piece of mother of pearl incised with a flower.",,Boxwood PlantBrass MetalIvory Tooth AnimalMother of Pearl Shell,Max L = 325 mm  Max Diam = 27 mm,,"France, Paris",Hrouard frres,mid-19th century,Display Case 6,J. Peschek,,,Hrouard FRERES,"4 key, Hrouard frres, Paris, mid-19th century, boxwood. dd. J. Peschek. 193 [display label]",,,Collections Image 14-01-2013,,no,"Fair condition, wood stained, oxidation on the metal, keys not working.",Elin Bornemann [11/01/2013]
x116,,Piccolo,Flutes,"Piccolo of cocus wood, in three joints (head, barrel, body), with six silver keys and silver ferrules.",,Cocus Wood PlantSilver Metal,Max L = 315 mm  Max Diam = 27 mm,,"UK, England, London",Alfred Hays,c.1883,Display Case 6,Philip Bate,,,A. HAYS 4 ROYAL EXCHANGE 3 DCS LONDON 5,"6 key, Alfred Hays, London, c. 1883, cocus. Philip Bate Loan. x116 [display label]",,,Collections Image 14-01-2013,,yes,"Fair condition, wood stained, oxidation on the metal, head cracked.",Elin Bornemann [11/01/2013]
1085,,Piccolo,Flutes,"Piccolo of grenadillo wood, in three joints (head, barrel, body), originally with five keys (three missing). Keys and ferrules of nickel alloy (two ferrules missing).",,Grenadillo Wood PlantNickel Alloy Metal,Max L = 305 mm  Max Diam = 27 mm,,unknown,anon,,Display Case 6,Philip Bate,,,,"5 key, anon, blackwood, 1085 [display label]",,,Collections Image 14-01-2013,,no,"Fair condition, dirty, oxidation on the metal, 3 keys and 2 ferrules missing.",Elin Bornemann [11/01/2013]
x130,,Piccolo,Flutes,"Piccolo of cocus wood, in two joints, Boehm system, with silver keys and silver ferrules.",,Cocus Wood PlantSilver Metal,Max L = 315 mm  Max W = 27 mm,,"France, Paris",Dupont,20th century,Display Case 6,Philip Bate,,,"DUPONT, PARIS.","Dupont, Paris, 20th century, cocus. Philip Bate Loan. x130 [display label]",,,Collections Image 15-01-2013,,yes,"Good condition, but with dirt and dust.",Elin Bornemann [11/01/2013]
175,,Piccolo,Flutes,"Piccolo of cocus wood, in two joints, Boehm system with rings and Briccialdi key, with silver keys, silver ferrules and silver lip plate.",,Cocus Wood PlantSilver Metal,Max L = 315 mm  Max W = 30 mm,,"France, Paris",Clair Godefroy ain,pre 1878,Display Case 6,Philip Bate,,,CLAIR Godfroy ain A PARIS  CG,"Clair Godefroy ain, Paris, pre-1878, cocus. Boehm system with Briccialdi key. 175 [display label]",,,Collections Image 15-01-2013,,no,"Fair condition, dirty, silver tarnished.",Elin Bornemann [14/01/2013]
x120,,Piccolo,Flutes,"Piccolo of ebonite, with two joints, 1867 system, with silver keys and silver ferrules.",,Ebonite SyntheticSilver Metal,Max L = 308 mm  Max W = 34 mm,,"UK, England, London","Rudall, Carte & Co.",post 1878,Display Case 6,Philip Bate,,,[crown] RUDALL CARTE & CO 23 BERNERS STREET OXFORD STREET LONDON 2274,"Rudall, Carte & Co., London, post-1878, ebonite. 1867 system. Philip Bate Loan x120 [display label]",,,Collections Image 15-01-2013,,no,"Fair condition, dirty, silver tarnished, keys not working properly.",Elin Bornemann [14/01/2013]
196,,Piccolo,Flutes,"Piccolo of silver-plated metal, 1867 system.",,Silver Metal,Max L = 310 mm  Max W = 28 mm,,"UK, England, London","Rudall, Carte & Co.",c.1875,Display Case 6,Norman Maloney,,,Rudall Carte & Co. 20 Charing Cross London 1867 Patent,"Rudall, Carte & Co., London, c. 1875, metal. Adapted 1867 system. dd. Norman Maloney 196 [display label]",,,Collections Image 15-01-2013,,no,"Fair condition, silver tarnished, keys very stiff.",Elin Bornemann [14/01/2013]
198,,Piccolo,Flutes,"Piccolo of silver-plated metal, 1867 system.",,Silver Metal,Max L = 305 mm  Max W = 35 mm,,"UK, England, London",Marius Henry Colonieu,1894-1917,Display Case 6,Anthony Baines,,,"M.H. Colonieu & Co. 26 Lawford Road, Kentish Town, London. 696 ","M.H. Colonieu & Co., London, metal. Variant of Carte's 1867 system. dd. A.C. Baines. 198 [display label]",,,Collections Image 15-01-2013,,no,"Fair condition, silver tarnished, keys very stiff.",Elin Bornemann [14/01/2013]
179,,PiccoloTransverse Flute,Flutes,"Piccolo or flute in Gb, with two joints, of boxwood, no keys.",,Boxwood Plant,Max L = 245 mm  Max W = 26 mm,,"UK, England, London",Key,first half 19th century,Display Case 6,none recorded,,,KEY LONDON,"Keyless in Gb, Key, London. 179 [display label]",,,Collections Image 15-01-2013,,yes,"Good condition, apart from signs of general wear and tear,",Elin Bornemann [14/01/2013]
1079,,PiccoloTransverse Flute,Flutes,"Piccolo or flute in Gb, with two joints, of cocus wood, no keys.",,Cocus Wood Plant,Max L = 238 mm  Max W = 26 mm,,unknown,anon,,Display Case 6,Edgar Hunt,February 1983,,,"Keyless in Gb, anon, Edgar Hunt. 1079 [display label]",,,Collections Image 15-01-2013,,yes,"Good condition, apart from signs of general wear and tear,",Elin Bornemann [14/01/2013]
189,,PiccoloTransverse Flute,Flutes,"Piccolo or flute in F, with three joints (head, barrel, body), of wood (rosewood?), with six keys of nickel alloy and nickel alloy ferrules.",,Wood PlantNickel Alloy Metal,Max L = 267 mm  Max W = 28 mm,,unknown,anon,,Display Case 6,none recorded,,,,"6 key in F, anon. 189 [display label]",,,Collections Image 15-01-2013,,no,"Fair condition, dirty between the keys, metal tarnished, keys not working properly.",Elin Bornemann [14/01/2013]
182,,PiccoloTransverse Flute,Flutes,"Piccolo or flute in F, with two joints, of cocus wood, with five keys of nickel alloy and nickel alloy ferrules.",,Cocus Wood PlantNickel Alloy Metal,Max L = 265 mm  Max W = 27 mm,,"UK, England, London",Henry Potter,1858-1895,Display Case 6,Philip Bate,,,20th MRV  [unicorn head] HY. POTTER & CO. LONDON 10  [on head]   [unicorn head] HY. POTTER & CO. 30 CHARING CROSS LONDON 10  20th MRV[on body],"5 key in F, Henry Potter & Co., London, 182. [display label]",,,Collections Image 15-01-2013,,no,"Fair condition, one key not working, hairline crack in the head, dirty.",Elin Bornemann [14/01/2013]
1077,,PiccoloTransverse Flute,Flutes,"Piccolo or flute in F, with two joints, of cocus wood, with five keys of nickel alloy and nickel alloy ferrules.",,Cocus Wood PlantNickel Alloy Metal,Max L = 263 mm  Max W = 27 mm,,"UK, England, London",Henry Potter,first half 20th century,Display Case 6,Edgar Hunt,February 1983,,[unicorn head] HY. POTTER & CO. LONDON [on head]  [unicorn head] HY. POTTER & CO. 36 WEST ST. CHARING + [=CROSS] ROAD LONDON [on body],"5 key in F, Henry Potter & Co., London. Edgar Hunt. 1077. [display label]",,,Collections Image 15-01-2013,,yes,"Good condition but dirty, metal tarnished.",Elin Bornemann [14/01/2013]
186,,PiccoloTransverse Flute,Flutes,"Piccolo or flute in F, with two joints, of cocus wood, with four keys of nickel alloy and nickel alloy ferrules.",,Cocus Wood PlantNickel Alloy Metal,Max L = 265 mm  Max W = 25 mm,,"UK, England, London",Joseph Wallis & Son,1884-1891,Display Case 6,none recorded,,,[lyre] J. WALLIS & SON 135 EUSTON ROAD LONDON  F,"4 key in F, J. Wallis & Son, London. 186 [display label]",,,Collections Image 15-01-2013,,no,"Fair condition, some keys not working, metal oxidising, dirty.",Elin Bornemann [14/01/2013]
172a,,PiccoloTransverse Flute,Flutes,"Piccolo or flute in F, with two joints, of boxwood, with five keys of brass and brass ferrules.",,Boxwood PlantBrass Metal,Max L = 260 mm  Max W = 27 mm,,"UK, England, London",Boosey & Sons,1854-1864,Display Case 6,none recorded,,,BOOSEY & SONS LONDON F [on head]  24 HOLLES STREET LONDON 1999 R.S. PRATTEN'S PERFECTED [on body],"5 key in F, Boosey & Sons, London, 'Pratten's Perfected'. 172a [display label]",,,Collections Image 15-01-2013,,yes,"Good condition, some dirt, brass tarnished.",Elin Bornemann [14/01/2013]
181,,PiccoloTransverse Flute,Flutes,"Piccolo or flute in F, with three joints [head, upper body, lower body], of boxwood, with one key of brass.",,Boxwood PlantBrass Metal,Max L = 276 mm  Max W = 20 mm,,"UK, England, London",John Parker,c.1780,Display Case 6,none recorded,,,PARKER LONDON,"1 key in F, John Parker, London, c. 1780, low pitch. 181 [display label]",,,Collections Image 15-01-2013,,yes,Good condition.,Elin Bornemann [14/01/2013]
190,,PiccoloTransverse Flute,Flutes,"Piccolo or flute in E, with two joints, of wood (grenadillo?), with six keys of silver and ivory ferrules, also with a silver ferrule at the top of the body and a silver lip plate.",,Wood PlantSilver Metal,Max L = 297 mm  Max W = 26 mm,,"UK, England, London?",unknown,,Display Case 6,none recorded,,,LO[...]N [probably LONDON],"6 key in E, name illegible. 190 [display label]",,,Collections Image 15-01-2013,,no,"Fair condition. Some keys not working, cap cracked, bottom ferrule chipped, silver tarnished, dirty.",Elin Bornemann [14/01/2013]
1012,,Transverse Flute,Flutes,"Bass flute in F, Boehm system, of metal.",,Metal,Max L = 837 mm  Max W = 75 mm,,"UK, England, London","Rudall, Carte & Co.",second quarter 20th century,"Case 7
",Uppingham School,,,Rudall Carte & Co. Ltd. London 8735,"F bass, Rudall Carte & Co., Boehm system, London, metal. ex Uppingham School. 1012 [display label]",,,Collections Image 15-01-2013,,yes,"Fair condition, metal oxidising all over.",Elin Bornemann [15/01/2013]
1022,,Transverse FluteAlbisiphone,Flutes,"Bass flute in C, Albisiphone, held upright with the tone hole in a T-head, of metal, Boehm system.",,Metal,Max L = 965 mm  Max W = 104 mm,extended to low B,"Italy, Milan",Abelardo Albisi,c.1910,Display Case 7,purchased,,,Albisiphon Baritono  ABELARDO ALBISI MILANO CORSO CONCORDIA 4 Brevetto,"Bass flute in C, Boehm system, Albisiphone, Abelardo Albisi, Milano, c 1910, metal. Held vertically. 1022 [display label]",the head has an address label from the 'Oxford Lights' shop stuck to it,,Collections Image 15-01-2013,,yes,"Fair condition, metal tarnished all over.",Elin Bornemann [15/01/2013]
